Configuration info
==================
Target platform:  AMD64-Windows-10.0.26200
Compiler:         gcc (15.2.0)
Compile options:  [-fomit-frame-pointer;-fdata-sections;-ffunction-sections;-Wl,--gc-sections;-Wno-maybe-uninitialized;-Wbad-function-cast;-Wno-unknown-pragmas;-Wno-unused-parameter]
OQS version:      0.16.0 (major: 0, minor: 16, patch: 0)
OpenSSL enabled:  No
AES:              NI
SHA-2:            C
SHA-3:            C
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  ADX AES AVX AVX2 BMI1 BMI2 PCLMULQDQ POPCNT SSE SSE2 SSE3
Speed test
==========
Started at 2026-09-06 21:42:39
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | CPU cycles: mean          | pop. stdev
------------------------------------ | ----------:| --------------:| ---------------:| ----------:| -------------------------:| ----------:
Classic-McEliece-348864              |            |                |                 |            |                           |           
keygen                               |         47 |          5.120 |      108936.170 |  68282.082 |                   1089405 |     683256
encaps                               |       8770 |          5.000 |         570.125 |    599.446 |                      5698 |       3857
decaps                               |        279 |          5.001 |       17924.731 |   1234.828 |                    179225 |      11390
Classic-McEliece-348864f             |            |                |                 |            |                           |           
keygen                               |        101 |          5.039 |       49891.089 |   5881.505 |                    498928 |      59082
encaps                               |       8941 |          5.000 |         559.222 |    587.866 |                      5594 |       3711
decaps                               |        323 |          5.012 |       15517.028 |   1175.941 |                    155187 |      10951
Classic-McEliece-460896              |            |                |                 |            |                           |           
keygen                               |         17 |          5.068 |      298117.647 | 215893.188 |                   2980420 |    2159875
encaps                               |       5270 |          5.000 |         948.767 |    854.741 |                      9485 |       7291
decaps                               |        128 |          5.033 |       39320.313 |   2358.275 |                    393164 |      22636
Classic-McEliece-460896f             |            |                |                 |            |                           |           
keygen                               |         30 |          5.181 |      172700.000 |  14201.291 |                   1726854 |     141857
encaps                               |       4549 |          5.000 |        1099.143 |    933.286 |                     10988 |       8239
decaps                               |        131 |          5.020 |       38320.611 |   2922.059 |                    383259 |      28817
Classic-McEliece-6688128             |            |                |                 |            |                           |           
keygen                               |          7 |          5.294 |      756285.714 | 264604.133 |                   7562925 |    2647623
encaps                               |       3258 |          5.000 |        1534.684 |   1252.693 |                     15338 |      11528
decaps                               |         65 |          5.063 |       77892.308 |   5764.942 |                    778945 |      57673
Classic-McEliece-6688128f            |            |                |                 |            |                           |           
keygen                               |         17 |          5.080 |      298823.529 |  25571.665 |                   2988174 |     256666
encaps                               |       3900 |          5.000 |        1282.051 |   1038.211 |                     12813 |       9483
decaps                               |         66 |          5.025 |       76136.364 |   4424.061 |                    761242 |      44041
Classic-McEliece-6960119             |            |                |                 |            |                           |           
keygen                               |          6 |          5.221 |      870166.667 | 673891.044 |                   8702852 |    6739677
encaps                               |       3239 |          5.000 |        1543.686 |    761.364 |                     15439 |       6574
decaps                               |         63 |          5.061 |       80333.333 |   9194.546 |                    803376 |      92046
Classic-McEliece-6960119f            |            |                |                 |            |                           |           
keygen                               |         14 |          5.011 |      357928.571 |  31893.717 |                   3579011 |     314891
encaps                               |       2072 |          5.001 |        2413.610 |   1206.989 |                     24135 |      11338
decaps                               |         61 |          5.058 |       82918.033 |   9183.547 |                    829155 |      91967
Classic-McEliece-8192128             |            |                |                 |            |                           |           
keygen                               |          7 |          5.152 |      736000.000 | 701181.044 |                   7361051 |    7011736
encaps                               |       2707 |          5.002 |        1847.802 |   1572.446 |                     18474 |      15010
decaps                               |         38 |          5.045 |      132763.158 |  15199.436 |                   1327618 |     152994
Classic-McEliece-8192128f            |            |                |                 |            |                           |           
keygen                               |         12 |          5.313 |      442750.000 |  38133.810 |                   4427871 |     380564
encaps                               |       3276 |          5.001 |        1526.557 |   1212.809 |                     15266 |      11265
decaps                               |         48 |          5.038 |      104958.333 |  10293.522 |                   1049422 |     102478
HQC-1                                |            |                |                 |            |                           |           
keygen                               |       2115 |          5.001 |        2364.539 |    663.090 |                     23648 |       5130
encaps                               |        809 |          5.002 |        6182.942 |   1129.952 |                     61800 |      10270
decaps                               |        803 |          5.000 |        6226.650 |   1290.230 |                     62265 |      12144
HQC-3                                |            |                |                 |            |                           |           
keygen                               |        970 |          5.003 |        5157.732 |   1261.184 |                     51558 |      11953
encaps                               |        437 |          5.005 |       11453.089 |   2710.387 |                    114511 |      26794
decaps                               |        333 |          5.004 |       15027.027 |   5259.842 |                    150300 |      52714
HQC-5                                |            |                |                 |            |                           |           
keygen                               |        461 |          5.009 |       10865.510 |   2140.236 |                    108599 |      20707
encaps                               |        212 |          5.004 |       23603.774 |   3958.938 |                    236013 |      39168
decaps                               |        123 |          5.000 |       40650.407 |   6157.795 |                    406515 |      61164
Kyber512                             |            |                |                 |            |                           |           
keygen                               |       6108 |          5.000 |         818.599 |    447.105 |                      8188 |       2181
encaps                               |      10952 |          5.000 |         456.538 |    539.806 |                      4563 |       2193
decaps                               |      85691 |          5.000 |          58.349 |    235.247 |                       583 |        156
Kyber768                             |            |                |                 |            |                           |           
keygen                               |       7206 |          5.000 |         693.866 |    481.502 |                      6938 |       1659
encaps                               |      12658 |          5.000 |         395.007 |    506.473 |                      3948 |       1564
decaps                               |      57848 |          5.000 |          86.433 |    281.863 |                       863 |        233
Kyber1024                            |            |                |                 |            |                           |           
keygen                               |       6897 |          5.000 |         724.953 |    462.488 |                      7246 |       1346
encaps                               |      10750 |          5.000 |         465.116 |    523.887 |                      4652 |       1718
decaps                               |      46309 |          5.000 |         107.970 |    311.316 |                      1079 |        151
ML-KEM-512                           |            |                |                 |            |                           |           
keygen                               |      17927 |          5.000 |         278.909 |    452.425 |                      2786 |        751
encaps                               |      15265 |          5.000 |         327.547 |    503.396 |                      3274 |       1986
decaps                               |     143651 |          5.000 |          34.807 |    184.388 |                       348 |        169
ML-KEM-768                           |            |                |                 |            |                           |           
keygen                               |      14478 |          5.000 |         345.352 |    478.668 |                      3452 |       1025
encaps                               |      13167 |          5.000 |         379.737 |    495.389 |                      3794 |       1228
decaps                               |     106110 |          5.000 |          47.121 |    220.869 |                       470 |        625
ML-KEM-1024                          |            |                |                 |            |                           |           
keygen                               |      12292 |          5.000 |         406.769 |    508.803 |                      4066 |       1353
encaps                               |      10826 |          5.000 |         461.851 |    504.986 |                      4620 |       1205
decaps                               |      65333 |          5.000 |          76.531 |    266.880 |                       764 |        210
NTRU-HPS-2048-509                    |            |                |                 |            |                           |           
keygen                               |       3557 |          5.001 |        1405.960 |    519.454 |                     14058 |       2847
encaps                               |      14132 |          5.000 |         353.807 |    480.807 |                      3535 |        934
decaps                               |      57734 |          5.000 |          86.604 |    311.136 |                       865 |       1409
NTRU-HPS-2048-677                    |            |                |                 |            |                           |           
keygen                               |       1831 |          5.000 |        2730.748 |   1039.435 |                     27303 |       9199
encaps                               |       8451 |          5.000 |         591.646 |    504.362 |                      5914 |       1249
decaps                               |      40956 |          5.000 |         122.082 |    342.400 |                      1218 |       1040
NTRU-HPS-4096-821                    |            |                |                 |            |                           |           
keygen                               |       1911 |          5.002 |        2617.478 |    643.519 |                     26164 |       4678
encaps                               |      10165 |          5.000 |         491.884 |    508.132 |                      4920 |       1571
decaps                               |      42621 |          5.000 |         117.313 |    389.542 |                      1172 |       2268
NTRU-HPS-4096-1229                   |            |                |                 |            |                           |           
keygen                               |       1047 |          5.001 |        4776.504 |    855.178 |                     47755 |       7210
encaps                               |      10941 |          5.000 |         456.997 |    507.958 |                      4567 |       1265
decaps                               |      26035 |          5.000 |         192.049 |    396.923 |                      1920 |        455
NTRU-HRSS-701                        |            |                |                 |            |                           |           
keygen                               |       2317 |          5.000 |        2157.963 |    668.738 |                     21580 |       5345
encaps                               |      10118 |          5.000 |         494.169 |    510.916 |                      4939 |       1445
decaps                               |      39979 |          5.000 |         125.066 |    333.054 |                      1249 |        276
NTRU-HRSS-1373                       |            |                |                 |            |                           |           
keygen                               |        630 |          5.007 |        7947.619 |   1764.406 |                     79463 |      16850
encaps                               |       7778 |          5.001 |         642.967 |    561.644 |                      6429 |       2956
decaps                               |      14964 |          5.000 |         334.135 |    474.794 |                      3339 |        576
sntrup761                            |            |                |                 |            |                           |           
keygen                               |        807 |          5.003 |        6199.504 |    930.603 |                     62007 |       8270
encaps                               |      11613 |          5.000 |         430.552 |    514.932 |                      4307 |       1681
decaps                               |      23117 |          5.000 |         216.291 |    419.727 |                      2164 |        844
FrodoKEM-640-AES                     |            |                |                 |            |                           |           
keygen                               |       7490 |          5.000 |         667.557 |    478.680 |                      6674 |       1315
encaps                               |       5659 |          5.000 |         883.548 |    388.985 |                      8830 |       1704
decaps                               |      12602 |          5.000 |         396.762 |    500.768 |                      3966 |       1295
FrodoKEM-640-SHAKE                   |            |                |                 |            |                           |           
keygen                               |       1640 |          5.000 |        3048.780 |   1280.267 |                     30471 |      12112
encaps                               |       1977 |          5.001 |        2529.590 |    610.364 |                     25284 |       3892
decaps                               |       2331 |          5.001 |        2145.431 |    443.117 |                     21447 |       2833
FrodoKEM-976-AES                     |            |                |                 |            |                           |           
keygen                               |       5775 |          5.000 |         865.801 |    480.799 |                      8654 |       2617
encaps                               |       3512 |          5.001 |        1423.975 |    501.621 |                     14231 |       2120
