alg,op,time_us
Classic-McEliece-348864,decaps,17924.73
Classic-McEliece-348864,encaps,570.12
Classic-McEliece-348864,keygen,108936.17
Classic-McEliece-348864f,decaps,15517.03
Classic-McEliece-348864f,encaps,559.22
Classic-McEliece-348864f,keygen,49891.09
Classic-McEliece-460896,decaps,39320.31
Classic-McEliece-460896,encaps,948.77
Classic-McEliece-460896,keygen,298117.65
Classic-McEliece-460896f,decaps,38320.61
Classic-McEliece-460896f,encaps,1099.14
Classic-McEliece-460896f,keygen,172700.00
Classic-McEliece-6688128,decaps,77892.31
Classic-McEliece-6688128,encaps,1534.68
Classic-McEliece-6688128,keygen,756285.71
Classic-McEliece-6688128f,decaps,76136.36
Classic-McEliece-6688128f,encaps,1282.05
Classic-McEliece-6688128f,keygen,298823.53
Classic-McEliece-6960119,decaps,80333.33
Classic-McEliece-6960119,encaps,1543.69
Classic-McEliece-6960119,keygen,870166.67
Classic-McEliece-6960119f,decaps,82918.03
Classic-McEliece-6960119f,encaps,2413.61
Classic-McEliece-6960119f,keygen,357928.57
Classic-McEliece-8192128,decaps,132763.16
Classic-McEliece-8192128,encaps,1847.80
Classic-McEliece-8192128,keygen,736000.00
Classic-McEliece-8192128f,decaps,104958.33
Classic-McEliece-8192128f,encaps,1526.56
Classic-McEliece-8192128f,keygen,442750.00
Falcon-1024,keypair,20076.00
Falcon-1024,sign,999.40
Falcon-1024,verify,83.77
Falcon-512,keypair,7045.07
Falcon-512,sign,836.43
Falcon-512,verify,44.60
Falcon-padded-1024,keypair,21934.21
Falcon-padded-1024,sign,1126.89
Falcon-padded-1024,verify,88.92
Falcon-padded-512,keypair,7886.44
Falcon-padded-512,sign,990.10
Falcon-padded-512,verify,50.48
FrodoKEM-1344-AES,decaps,2087.68
FrodoKEM-1344-AES,encaps,2878.02
FrodoKEM-1344-AES,keygen,1808.32
FrodoKEM-1344-SHAKE,decaps,12332.51
FrodoKEM-1344-SHAKE,encaps,15933.12
FrodoKEM-1344-SHAKE,keygen,16945.95
FrodoKEM-640-AES,decaps,396.76
FrodoKEM-640-AES,encaps,883.55
FrodoKEM-640-AES,keygen,667.56
FrodoKEM-640-SHAKE,decaps,2145.43
FrodoKEM-640-SHAKE,encaps,2529.59
FrodoKEM-640-SHAKE,keygen,3048.78
FrodoKEM-976-AES,decaps,970.12
FrodoKEM-976-AES,encaps,1423.97
FrodoKEM-976-AES,keygen,865.80
FrodoKEM-976-SHAKE,decaps,6449.74
FrodoKEM-976-SHAKE,encaps,5673.47
FrodoKEM-976-SHAKE,keygen,7084.99
HQC-1,decaps,6226.65
HQC-1,encaps,6182.94
HQC-1,keygen,2364.54
HQC-3,decaps,15027.03
HQC-3,encaps,11453.09
HQC-3,keygen,5157.73
HQC-5,decaps,40650.41
HQC-5,encaps,23603.77
HQC-5,keygen,10865.51
Kyber1024,decaps,107.97
Kyber1024,encaps,465.12
Kyber1024,keygen,724.95
Kyber512,decaps,58.35
Kyber512,encaps,456.54
Kyber512,keygen,818.60
Kyber768,decaps,86.43
Kyber768,encaps,395.01
Kyber768,keygen,693.87
MAYO-1,keypair,692.04
MAYO-1,sign,1422.88
MAYO-1,verify,191.21
MAYO-2,keypair,766.05
MAYO-2,sign,1101.32
MAYO-2,verify,48.06
MAYO-3,keypair,1284.94
MAYO-3,sign,3688.05
MAYO-3,verify,453.43
MAYO-5,keypair,3130.16
MAYO-5,sign,7577.27
MAYO-5,verify,846.17
ML-DSA-44,keypair,407.37
ML-DSA-44,sign,794.03
ML-DSA-44,verify,100.64
ML-DSA-44-extmu,keypair,384.91
ML-DSA-44-extmu,sign,640.99
ML-DSA-44-extmu,verify,83.50
ML-DSA-65,keypair,489.86
ML-DSA-65,sign,1048.22
ML-DSA-65,verify,158.35
ML-DSA-65-extmu,keypair,430.89
ML-DSA-65-extmu,sign,774.47
ML-DSA-65-extmu,verify,143.16
ML-DSA-87,keypair,649.01
ML-DSA-87,sign,1095.29
ML-DSA-87,verify,248.95
ML-DSA-87-extmu,keypair,540.77
ML-DSA-87-extmu,sign,906.29
ML-DSA-87-extmu,verify,229.74
ML-KEM-1024,decaps,76.53
ML-KEM-1024,encaps,461.85
ML-KEM-1024,keygen,406.77
ML-KEM-512,decaps,34.81
ML-KEM-512,encaps,327.55
ML-KEM-512,keygen,278.91
ML-KEM-768,decaps,47.12
ML-KEM-768,encaps,379.74
ML-KEM-768,keygen,345.35
NTRU-HPS-2048-509,decaps,86.60
NTRU-HPS-2048-509,encaps,353.81
NTRU-HPS-2048-509,keygen,1405.96
NTRU-HPS-2048-677,decaps,122.08
NTRU-HPS-2048-677,encaps,591.65
NTRU-HPS-2048-677,keygen,2730.75
NTRU-HPS-4096-1229,decaps,192.05
NTRU-HPS-4096-1229,encaps,457.00
NTRU-HPS-4096-1229,keygen,4776.50
NTRU-HPS-4096-821,decaps,117.31
NTRU-HPS-4096-821,encaps,491.88
NTRU-HPS-4096-821,keygen,2617.48
NTRU-HRSS-1373,decaps,334.13
NTRU-HRSS-1373,encaps,642.97
NTRU-HRSS-1373,keygen,7947.62
NTRU-HRSS-701,decaps,125.07
NTRU-HRSS-701,encaps,494.17
NTRU-HRSS-701,keygen,2157.96
OV-III,keypair,137459.46
OV-III,sign,1933.13
OV-III,verify,135.88
OV-III-pkc,keypair,134368.42
OV-III-pkc,sign,2193.86
OV-III-pkc,verify,553.53
OV-III-pkc-skc,keypair,152181.82
OV-III-pkc-skc,sign,104979.17
OV-III-pkc-skc,verify,764.64
OV-Ip,keypair,21747.83
OV-Ip,sign,738.12
OV-Ip,verify,60.74
OV-Ip-pkc,keypair,21280.85
OV-Ip-pkc,sign,814.86
OV-Ip-pkc,verify,104.83
OV-Ip-pkc-skc,keypair,28913.29
OV-Ip-pkc-skc,sign,19546.88
OV-Ip-pkc-skc,verify,118.90
OV-Is,keypair,14456.65
OV-Is,sign,648.51
OV-Is,verify,29.73
OV-Is-pkc,keypair,11813.68
OV-Is-pkc,sign,638.57
OV-Is-pkc,verify,84.85
OV-Is-pkc-skc,keypair,21012.60
OV-Is-pkc-skc,sign,13941.50
OV-Is-pkc-skc,verify,85.51
OV-V,keypair,341400.00
OV-V,sign,3542.49
OV-V,verify,236.43
OV-V-pkc,keypair,419769.23
OV-V-pkc,sign,4559.71
OV-V-pkc,verify,1162.52
OV-V-pkc-skc,keypair,469272.73
OV-V-pkc-skc,sign,321250.00
OV-V-pkc-skc,verify,1746.42
SNOVA_24_5_4,keypair,1029.65
SNOVA_24_5_4,sign,3882.76
SNOVA_24_5_4,verify,1761.80
SNOVA_24_5_4_SHAKE,keypair,1509.66
SNOVA_24_5_4_SHAKE,sign,2695.42
SNOVA_24_5_4_SHAKE,verify,1505.57
SNOVA_24_5_4_SHAKE_esk,keypair,826.31
SNOVA_24_5_4_SHAKE_esk,sign,1958.48
SNOVA_24_5_4_SHAKE_esk,verify,1366.77
SNOVA_24_5_4_esk,keypair,738.12
SNOVA_24_5_4_esk,sign,2030.05
SNOVA_24_5_4_esk,verify,1309.24
SNOVA_24_5_5,keypair,1874.44
SNOVA_24_5_5,sign,8305.65
SNOVA_24_5_5,verify,4961.31
SNOVA_25_8_3,keypair,1276.16
SNOVA_25_8_3,sign,2655.34
SNOVA_25_8_3,verify,981.35
SNOVA_29_6_5,keypair,4063.36
SNOVA_29_6_5,sign,14044.94
SNOVA_29_6_5,verify,10667.38
SNOVA_37_17_2,keypair,2365.66
SNOVA_37_17_2,sign,3474.64
SNOVA_37_17_2,verify,681.66
SNOVA_37_8_4,keypair,3113.95
SNOVA_37_8_4,sign,11467.89
